link_type,description,redirect
http://osgeo.org/service/ogc/csw/2.0.2,OGC Catalogue Service for the Web 2.0.2,http://www.opengis.net/cat/csw/2.0.2
http://osgeo.org/service/ogc/sos/1.0,OGC Sensor Observation Service 1.0.0,http://www.opengis.net/sos/1.0
http://osgeo.org/service/ogc/2.0,OGC Sensor Observation Service 2.0.0,http://www.opengis.net/sos/2.0
http://osgeo.org/service/ogc/wcs,OGC Web Coverage Service 1.1.0,http://www.opengis.net/wcs
http://osgeo.org/service/ogc/wcs/1.1,OGC Web Coverage Service 1.1.0,http://www.opengis.net/wcs/1.1
http://osgeo.org/service/ogc/wfs,OGC Web Feature Service 1,http://www.opengis.net/wfs
http://osgeo.org/service/ogc/wfs/2.0,OGC Web Feature Service 2.0.0,http://www.opengis.net/wfs/2.0
http://osgeo.org/service/ogc/wms,OGC Web Map Service 1.3.0,http://www.opengis.net/wms
http://osgeo.org/service/ogc/wps/1.0.0,OGC Web Processing Service 1.0.0,http://www.opengis.net/wps/1.0.0
http://osgeo.org/service/esri/arcims,ESRI ArcIMS Service,urn:x-esri:serviceType:ArcIMS
http://osgeo.org/service/esri/arcgis,ESRI ArcGIS Service,urn:x-esri:serviceType:ArcGIS
http://osgeo.org/service/opendap/opendap/2.0.0,OPeNDAP 2.0.0,http://opendap.org
http://osgeo.org/service/unidata/ncss/1.0.0,NetCDF Subset Service 1.0.0,https://www.unidata.ucar.edu/software/thredds/current/tds/interfaceSpec/NetcdfSubsetService.html
http://osgeo.org/service/unidata/cdm/0.1.0,Common Data Model Remote Web Service 0.1.0,https://www.unidata.ucar.edu/software/thredds/current/netcdf-java/stream/CdmRemote.html
http://osgeo.org/data/ogc/gml/2.0,OGC Geography Markup Language 2.0,http://www.opengis.net/gml
http://osgeo.org/data/ogc/gml/2.1,OGC Geography Markup Language 2.1,http://www.opengis.net/gml
http://osgeo.org/data/ogc/gml/3.0,OGC Geography Markup Language 3.0,http://www.opengis.net/gml
http://osgeo.org/data/ogc/gml/3.1,OGC Geography Markup Language 3.1,http://www.opengis.net/gml
http://osgeo.org/data/ogc/gml/3.2,OGC Geography Markup Language 3.2,http://www.opengis.net/gml/3.2
http://osgeo.org/service/w3c/www-link,Web link / URL,TODO
http://osgeo.org/service/osgeo/www-thumbnail,Web Thumbnail / browse image,TODO
